normed,black,american_native,asian,hawaiian_pacific_islander,white,hispanic_latino,multiracial,unknown,bad_format,minority
Guinean,,,,,,,,,nationality,
Paraguayan,,,,,,,,,nationality,
Peruvian,,,,,,,,,nationality,
Filipino,,,,,,,,,nationality,
Pole,,,,,,,,,nationality,
Portuguese,,,,,,,,,nationality,
Qatari,,,,,,,,,nationality,
Romanian,,,,,,,,,nationality,
Russian,,,,,,,,,nationality,
Rwandan,,,,,,,,,nationality,
Saudi Arabian,,,,,,,,,nationality,
Saudi,,,,,,,,,nationality,
Scot,,,,,,,,,nationality,
Senegalese,,,,,,,,,nationality,
Serb,,,,,,,,,nationality,
Serbian,,,,,,,,,nationality,
Seychellois,,,,,,,,,nationality,
Sierra Leonian,,,,,,,,,nationality,
Singaporean,,,,,,,,,nationality,
Slovak,,,,,,,,,nationality,
Slovene,,,,,,,,,nationality,
Slovenian,,,,,,,,,nationality,
Solomon Islander,,,,,,,,,nationality,
Somali,,,,,,,,,nationality,
South African,,,,,,,,,nationality,
South Korean,,,,,,,,,nationality,
Spaniard,,,,,,,,,nationality,
Sri Lankan,,,,,,,,,nationality,
Sudanese,,,,,,,,,nationality,
Surinamer,,,,,,,,,nationality,
Surinamese,,,,,,,,,nationality,
Swazi,,,,,,,,,nationality,
Swede,,,,,,,,,nationality,
Swiss,,,,,,,,,nationality,
Syrian,,,,,,,,,nationality,
Taiwanese,,,,,,,,,nationality,
Tajik,,,,,,,,,nationality,
Tadjik,,,,,,,,,nationality,
Tanzanian,,,,,,,,,nationality,
Thai,,,,,,,,,nationality,
Togolese,,,,,,,,,nationality,
Trinidadian,,,,,,,,,nationality,
Tobagan,,,,,,,,,nationality,
Tobagonian,,,,,,,,,nationality,
Tunisian,,,,,,,,,nationality,
Turk,,,,,,,,,nationality,
Turkmen,,,,,,,,,nationality,
Turkoman,,,,,,,,,nationality,
Tuvaluan,,,,,,,,,nationality,
Ugandan,,,,,,,,,nationality,
Ukrainian,,,,,,,,,nationality,
Emirati,,,,,,,,,nationality,
Briton,,,,,,,,,nationality,
US citizen,,,,,,,,,nationality,
Uruguayan,,,,,,,,,nationality,
Uzbek,,,,,,,,,nationality,
Vanuatuan,,,,,,,,,nationality,
Venezuelan,,,,,,,,,nationality,
Vietnamese,,,,,,,,,nationality,
Welshman,,,,,,,,,nationality,
Welshwoman,,,,,,,,,nationality,
Western Samoan,,,,,,,,,nationality,
Yemeni,,,,,,,,,nationality,
Yugoslav,,,,,,,,,nationality,
Zairean,,,,,,,,,nationality,
Zambian,,,,,,,,,nationality,
Zimbabwean,,,,,,,,,nationality,
